夏春秋,吴耀冬(本名)
马修·阿马立克,马修·阿玛里克 / 马蒂尔艾马力 / 马修·阿玛希克 / 马修亚玛希
小林瞳,松本かおり
团时郎,团次郎
忍成修吾,踏平J家的男人（外号）
塞伦娜·格兰蒂,塞雷纳·格朗蒂
维吉妮·拉朵嫣,维吉妮·勒朵因 / 维赫瑞妮·勒朵因 / 维吉妮·拉杜扬 / 维吉尼·丽多茵 / 弗吉妮亚·拉朵嫣
黄金咲千寻,黄金咲
长泽筑实,橘亚沙美 / 广山词叶
成田爱,成田愛
伊利·曼佐,杰里·闵采尔 / 伊日·门泽尔
薇拉·希季洛娃,薇拉·齐蒂洛娃 / 维拉·希蒂洛娃
爱染恭子,愛染恭子
F·司各特·菲茨杰拉德,菲兹杰拉德 / 菲茨杰拉德 / 弗朗西斯·斯科特·基·菲茨杰拉德(本名) / F·斯科特·菲茨杰拉德
乔·达里桑德罗,乔·达拉山多
弗拉基米尔·戈斯丘辛,Владимир Гостюхин
安妮·芳婷,安妮·方汀
艾尔玛·克洛斯,埃尔马·克洛斯
拉莉萨·舍皮琴科,Лариса Шепитько
莲娜·萝薇,莉娜·罗梅
维托尔·门德斯,维克托·曼努埃尔·门德斯
乌苏拉·安德丝,马尔苏拉·安德烈斯 / 厄苏拉·安德列斯
罗伯特·汤,罗伯特·唐恩
杰克·尼科尔森,积尼高逊 / 杰克尼柯逊 / 杰克尼克逊
星野光,星野亚加利
金振奎,金镇奎
文成根,文盛瑾
许秦豪,许真浩(汉字名)
白日燮,白日博
李晚熙,李万熙 / 李满熙 / 秋男(笔名)
里见瑶子,里見瑶子 / 里見瑤子
穗花,穗花
马可·贝罗奇奥,马科·贝洛基奥 / 马可·贝洛奇奥
尤里西·塞德尔,乌尔利奇·塞德尔 / 乌尔里奇·赛德 / 乌尔里希·赛德尔
原纱央莉,松野井雅
谢丽尔·邓耶,谢丽尔·邓伊
亚历山大·小仲马,小仲马
吉安尼·阿梅利奥,詹尼·阿梅利奥
朝美穗香,朝美惠香
野本美穗,程嘉美 / 野本実穂乃
大西信满,大西滝次郎（本名）
铃木清顺,铃木清太郎(本名)
白木万理,白木真里 / 山口澄子
芦田伸介,芦田义道
久野真季子,久野翔子
飞鸟裕子,飛鳥裕子 / 黒崎裕子
谷奈绪美,谷直美
麻美由真,麻美由麻
东照美,東てる美 / 山辺素美(本名)
藤谷美纪,藤谷美紀
浅野忠信,佐藤忠信(本名)
加藤善博,加藤善博
石桥莲司,石橋 蓮司
相川圭子,小林清美(本名)
若松孝二,Koji Wakamatsu
费德里科·费里尼,费德里柯·费里尼(港/台) / 菲特瑞可费里尼 / 费代里科·费利尼
维尔戈特·斯耶曼,维尔哥·萧门
伊丹十三,池内义弘(本名)
高桥洋子,高橋洋子
小松方正,小松豊成(本名)
皮埃尔·保罗·帕索里尼,皮尔·保罗·巴索里尼 / 比尔波罗柏索里尼
高田宏治,Koji Takada
佐藤寿保,幡寿一
岩下志麻,筱田志麻
香川京子,牧野香子(本名)
山村聪,古贺宽定
中村雁治郎,中村鴈治郎
京町子,京マチ子 / 京真知子
佐分利信,石崎由雄(本名)
敕使河原宏,勅使河原宏
坂本澄子,石井寿美子
小泽昭一,Shôichi Ozawa
马渕晴子,馬渕晴子
川津祐介,川头祐一(本名)
小泽荣太郎,小沢栄太郎
笠原良三,笠原良三郎(本名)
佐佐木守,佐々木守
户浦六宏,戸浦六宏
佐藤庆,佐藤慶 / 佐藤慶之助 (本名)
水户光子,水戸光子
三好荣子,三好栄子
木暮实千代,木暮実千代
有马稻子,有馬稲子
山田五十铃,山田美津(本名)
高堂国典,高堂國典
高桥丰子,高橋豊子 高橋とよ
佐野周二,关口正三郎(本名)
二本柳宽,二本柳寛
笠智众,笠智衆(台)
仲代达矢,仲代元久(本名)
文森特·卡索,文森特·卡塞尔 / 樊尚·卡塞尔 / 云逊卡素 / 文森·卡索 / 凡松·卡塞
雨果·维文,晓高·韦荣(港) / 雨果·威明(台) / 休戈·威文
高峰秀子,平山秀子(原名) / 松山秀子(原名)
森雅之,有岛行光(本名)
长谷部庆治,長谷部慶次
基弗·萨瑟兰,基夫·萨瑟兰 / 基佛·苏德兰 / 鲍小强(昵称)
科里·费尔德曼,克里·费尔德曼
理查德·德莱弗斯,理查德·德莱福斯
斯蒂芬·金,史蒂芬·金
瑞凡·菲尼克斯,瑞弗·菲尼克斯 / 里弗·菲尼克斯
雷纳尔多·吉迪恩,雷纳尔多·吉迪昂 / 雷纳尔多·基甸
罗伯·莱纳,罗伯·雷尼尔 / 罗伯·赖纳 / 罗伯·雷恩
肯·洛奇,肯·罗奇(别名)
杉村春子,石山春子(本名)
阿历克塞·巴拉巴诺夫,阿列克谢·巴拉巴诺夫
原节子,会田昌江(本名)
青木富夫,突貫小僧
团令子,団令子
中村玩右卫门,中村翫右衛門
妮娜·杜波夫,妮娜·多布雷夫
长门裕之,加藤晃夫(本名)
山中贞雄,山中貞雄
吉川满子,吉川満子
饭田蝶子,Chouko Iida / Choko Iida / Chôko Îda
左幸子,額村 幸子(本名)
斯蒂芬·迪兰,二鹿（昵称）
戴文·博斯蒂克,德文·布斯蒂克
拉德·舍博德兹加,Rade Šerbedžija
伊东薫,伊东薰
大川平八郎,Heihachiro Okawa
细川千贺子,細川ちか子
千叶早智子,千葉早智子
藤原釜足,藤原鸡太
宫本真希,宮本真希
吉永小百合,冈田小百合(本名)
松田优作,Yuusaku Matsuda
筱田正浩,篠田正浩
弗雷德·金尼曼,弗雷德•齐纳曼
多罗塔·肯杰尔扎沃斯卡,多罗塔·肯杰尔夫弗斯卡
玛克西姆·高尔基,阿列克谢·马克西莫维奇·彼什科夫
千秋实,千秋実
笑福亭鹤瓶,骏河学(本名) / 笑福亭鶴瓶(袭名)
十朱久雄,小仓久雄
菅原谦二,菅原谦次 / 小松原重政
沟口健二,溝口健二
埃米尔·库斯图里卡,埃米尔·古斯杜里察 / 艾米尔·库斯杜力卡
文森特·普莱斯,文森特·普雷斯
尹珍序,尹真瑞 / 尹真书 / 尹珍西 / 尹珍瑞
阿莱西奥·博尼,亚力希欧·波尼
施林·奈沙,诗琳·娜夏特 / 希琳·内斯哈特
绘泽萠子,绘泽萌子 / 松田友绘
倍赏美津子,倍賞美津子
大楠道代,安田道代
大竹忍,大竹しのぶ
新藤兼人,新藤兼登(本名)
安德烈·帕宁,Andrei Panin / 安德烈·潘因 / 安德烈·巴宁
大杉涟,大杉漣
茵格保加·达坤耐特,""
梅拉布·尼尼泽,米勒·尼尼兹
娜娜·裘杨兹,娜娜·焦尔贾泽
钦吉兹·阿布拉泽,თენგიზ აბულაძე
马诺伊洛维奇,米基·马诺伊洛维奇
加里·库珀,贾利·古柏 / 加里·古勃 / 加里·库柏
霍华德·霍克斯,霍华德·豪克斯
斯拉夫科·斯提马科,斯拉夫科•什蒂马茨
屠格涅夫,伊凡·谢尔盖耶维奇·屠格涅夫
达尼罗 -巴塔-斯托科维奇,巴塔大叔
维克托·麦克拉格伦,维多·麦克劳伦
安东尼·奎恩,安东尼·甘 / 安东尼·昆
泰隆·鲍华,蒂龙·鲍尔
阿伯德拉马纳·希萨柯,阿卜杜勒-拉赫曼·斯萨克
乌尔里希·穆埃,乌列谬希
吉恩·哈克曼,尤金·艾伦·哈克曼(本名)
达尔顿·特朗勃,达尔顿·塔姆波 / 达尔顿·特波
萨姆·沃特森,萨姆·沃特斯通
黛安·基顿,戴安·基顿
乔·曼特纳,乔伊·蒙泰格纳
琼·斯奎布,朱恩·斯奎布
弗兰西斯·麦克多蒙德,弗兰西斯·麦克多门 / 弗朗西丝·麦克道曼
莉莉·汤姆林,莉莉·汤普琳
鲍勃·拉菲尔森,罗伯·拉菲尔森
玛德琳·斯托,玛德琳·斯通
小罗伯特·唐尼,罗拔唐尼(港) / 小劳勃·道尼
杰克·莱蒙,杰克·李蒙
安迪·麦克道威尔,安迪·麦克道尔
米亚·法罗,米娅·法罗 / 美亚·花露(港)
伍迪·艾伦,活地阿伦
朗贝尔·维尔森,兰伯特·威尔逊
弗洛伦斯·卢瓦雷,弗萝伦斯•卢瓦雷
阿娜伊丝·德穆斯捷,安娜斯·戴莫斯特 / 阿奈丝·德穆斯捷
奥利弗·古尔迈,奥力维耶·古尔梅
帕特里斯·夏侯,帕特里斯·夏洛尔 / 帕特里斯·夏洛 / 帕特里斯·谢侯 / 帕特里斯·谢罗
迈克尔·哈内克,米夏埃耳·韓內克(台) / 米夏埃尔·哈内克
苍波纯,青波纯(原名)
艺智苑,艺智媛 / 芮智苑
林权泽,林權澤
弗朗索瓦·欧容,弗朗索瓦·奥宗 / 弗朗索瓦·奥桑
洼冢俊介,窪塚俊介
品川彻,品川徹 / 平川撤
玄理,玄里
黛安·韦斯特,黛安娜·维斯特
科林·法瑞尔,柯林·法莱尔 / 柯林·法瑞尔
丽芙·乌曼,莉芙·乌曼 / 莉芙·厄尔曼 / 丽芙乌曼
杰西卡·查斯坦,杰西卡·查斯坦荫 / 杰西卡·查斯汀 / 劳模姐(昵称)
朱丽·哈基提,朱莉·哈格蒂
哈莫尼·科林,哈莫尼·科瑞安 / 哈默尼·克林
乔纳森·戴米,强纳森·德米
易卜生,亨利·易卜生
若昂·伯特洛,若昂·博特略 / 若昂·波泰略 / 乔·伯特洛
格蕾塔·葛韦格,格雷塔·盖尔维格 / 格里塔·格文格 / 格蕾塔·格维希
阿尔·帕西诺,阿尔柏仙奴 / 艾尔·帕西诺
朱莉娅·维斯托斯卡亚,朱丽亚·维斯托斯卡亚
巴瑞·莱文森,巴里·利维逊
彼得·库尔特,彼得·库尔思
克里斯蒂安·蒙吉,克里斯蒂安·蒙久
斯特林·杰里斯,斯特灵·杰琳思
亚当·德赖弗,亚当·德利弗
维克托·苏霍卢科夫,维科托·斯佐夫
崔娜·迪斯霍尔姆,特丽娜·迪罗尔姆 / 崔娜·蒂虹
托马斯·多雷,汤玛士·多西特
阿黛拉·哈内尔,阿黛尔·希奈拉 /  雅德·哈奈儿 /  阿黛尔·哈恩
让-皮埃尔·达内,让·皮埃尔·达代 / 让·皮埃尔·达尔代涅
托比亚斯·林道赫姆,托比亚斯·林贺姆 / 托比亚斯·林霍尔姆
吕克·达内,吕克·达代 / 吕克·达尔代涅
托马斯·温特伯格,汤玛士温德堡
乌尔里奇·汤姆森,乌尔里克·汤姆森 / 尤瑞奇·汤姆生
保罗·塔维亚尼,保罗·塔维安尼
布鲁诺·甘茨,布鲁诺·冈茨
纪尧姆·谷伊,纪尧姆·古依
塔哈·拉希姆,塔哈尔·拉伊姆
阿黛尔·艾克萨勒霍布洛斯,阿黛尔·艾克阿切波洛斯
日向铃子,ミヤコ蝶々
斯塔西·马汀,史黛西马汀
贝热尼丝·贝乔,比热尼斯·比约 / 贝勒尼丝·贝乔 / 贝赫妮·闭月
布拉迪·科贝特,毕迪高拔
罗伯特·帕丁森,罗拔·柏迪臣(港) / 罗伯·派汀森(台)
列夫·托尔斯泰,列夫·尼古拉耶维奇·托尔斯泰
斯坦利·库布里克,史丹利寇比力克 / 史丹利库布里克
陆弈静,陆筱琳
蕾蒂莎·科斯塔,莉苔希娅·考斯特 / 拉蒂迪亚·科斯塔
帕斯卡·格里高利,帕斯卡·格利高里
克劳德·夏布洛尔,克劳德·察布罗尔 / 哥罗德·夏布洛 / 克劳德·查布洛
让·谷克多,尚·考克多 / 让·科克托
伊斯特凡·萨博,伊斯特万·萨伯
让-雅克·贝奈克斯,让-雅克·贝内 / 尚积葵·贝勒 / 让-杰奎斯·贝力斯 / 尚-贾克·贝内克斯 / 让-雅克·贝尼斯
斯图尔特·格兰杰,史都华·格兰杰
弗里茨·朗,弗里茨·兰 / 佛列兹·朗 / 弗里茨·朗格 / 弗里兹·朗
菲利普·加莱尔,菲利普·加瑞尔
瓦莱丽亚·布诺妮-泰特琪,瓦莱丽雅·布鲁尼-特德斯奇
文森特·加洛,加洛(昵称)
冯斯·罗德麦克斯,丰斯·拉德马克斯
拉夫·达兹,拉夫·迪亚兹
克莱尔·德尼,克莱尔·丹尼斯 / 克莱尔·德妮斯
让-克劳德·布里索,尚-克罗德·布瑞索 / 尚格·比素
迈克尔·曼,米高曼 / 迈可曼
特瑞沃·霍华德,特雷弗·霍华德
罗杰·阿夫瑞,罗杰·艾瓦里
福里斯特·惠特克,科华士·韦德加 / 科力士·韋德加(港)
罗纳德·考尔曼,罗纳·考尔门
乔治·库克,乔治·顾柯 / 乔治·丘克
理查德·阿滕伯勒,理查德·阿顿伯罗
西德尼·吕美特,希德尼·鲁麦特 / 悉尼·卢曼特 / 希德尼·鲁迈特 / 薛尼·卢密(港) / 薛尼·卢梅(台)
肖恩·康纳利,辛康纳利 / 史恩康纳莱
帕蒂·史密斯,帕蒂·斯密丝 / 派翠西亚·李·史密斯(本名)
弗雷德里克·马奇,弗雷德里克·马区
林强,林志峰（本名）
帕维尔·马萨尔斯基,帕维尔·马斯萨利斯基
马克斯·奥菲尔斯,马克斯·奥法尔斯 / 马克斯欧弗斯 / 马克斯·欧弗斯
弗拉基米尔·巴拉瑟夫,弗拉基米尔·巴拉绍夫
弗谢沃罗德·普多夫金,伍瑟沃罗德·普多夫金
蔡振南,南哥(昵称)
吴念真,吴文钦(本名)
安托南·阿尔托,安东尼·阿尔托 / 安东尼·亚陶
让-吕克·戈达尔,尚盧‧高達
伊莎贝尔·于佩尔,伊莎贝勒·雨蓓 / 伊莎贝尔·休伯特 / 伊莎贝尔·于蓓尔 / 伊莎贝尔·于贝尔
雅克·迪特隆,雅克·杜特隆
简·方达,珍·方達(台)
米歇尔·皮寇利,米歇尔·毕高利
文森特·卡塞瑟,文森特·卡吉瑟
伊夫·蒙当,尤蒙顿
克里斯托弗·兰登,克里斯托弗·B·兰敦 / 克里斯托弗·兰敦
迈克·菲吉斯,麦克·菲吉斯
尤瑟夫·夏因,尤素福·沙欣
玛格瑞塔·泰瑞柯娃,玛格丽特·捷列霍娃
奥列格·扬科夫斯基,Oleg Yankovskiy
格里高利·亚历山德罗夫,格里戈里·瓦西里耶维奇·亚历山德罗夫 / 格里高力·阿莱克桑德夫
李·范·克里夫,李·凡·克利夫
赛尔乔·莱翁内,沙治奥·李昂尼 / 塞尔吉奥·李奥尼 / 塞吉奥·李安尼 / 瑟吉欧·莱昂内 / 赛尔乔·莱昂内 / 塞尔吉奥·莱翁内
埃里·瓦拉赫,伊莱·瓦拉赫
沃尔克·施隆多夫,伏尔卡·舒朗杜夫 / 沃尔克·舒伦多夫 / 沃克雪蓝多夫
埃里克·冯·施特罗海姆,埃里克·施特罗海姆 / 艾瑞克冯史特洛卓 / 埃立克·冯·斯特劳亨
威廉·霍尔登,威廉·霍顿 / 威廉·荷顿
贝纳尔多·贝托鲁奇,宾纳杜·贝托鲁奇 / 伯纳多·伯图鲁奇
阿历桑多罗·哈伯,亚历山大·哈勃
安娜·玛妮雅妮,安娜·马格纳尼
罗伯托·罗西里尼,罗拔图·罗塞利尼 / 罗伯特·罗塞里尼
A·I·贝赞里特斯,A.I.贝泽里德斯
理查德·威德马克,李察·威麦
维克多·迈彻,维克多•马丢尔
亨利·哈撒韦,亨利·海明威 / 亨瑞·海夏威
马克斯·冯·叙多,麦士冯西度(港) / 马克思·冯·希度 / 马克斯·冯·西多
毕比·安德森,碧比·安德森
维克多·斯约斯特洛姆,维克多·修斯卓姆
霍普·埃默森,侯普·艾默生 / 侯普·爱默生 / 希望·爱默生
克劳迪娅·卡汀娜,歌迪亚·卡蒂奈丝 / 克劳黛卡蒂娜
西奥·安哲罗普洛斯,西奥多罗斯·安哲罗普洛斯
马塞洛·马斯楚安尼,马塞罗·马斯特罗阿尼 / 马塞罗·马斯托依安尼 / 马切洛·马斯特洛亚尼
弗拉基米尔·博戈莫诺夫,Владимир Богомолов
安德烈·康查洛夫斯基,安德烈·冈察洛夫斯基 / 安德烈·米哈尔科夫-冈察洛夫斯基
卡尔森·亨宁,亨宁·卡尔森
格洛丽亚·格雷厄姆,蔡明(昵称)
罗伯特·瑞安,罗伯特·瑞恩
罗伯特·布列松,罗伯特·布烈松 / 罗拔·布烈逊 / 罗伯特·布莱森 / 罗伯特·布雷森
亨弗莱·鲍嘉,汉弗莱·博加特 / 汉佛莱·鲍嘉特 / 堪富利·保加(港)
拉乌尔·沃尔什,拉乌尔•瓦什（常用译名）
约瑟夫·怀斯曼,约瑟夫·维斯曼
简·西蒙斯,珍·西蒙斯
克里夫·罗伯逊,克里夫·罗勃逊
塞缪尔·富勒,山姆·富勒
Larisa Kadochnikova,Лариса Кадочникова
因诺肯季·斯莫克图诺夫斯基,因诺肯季·米哈伊洛维奇·斯莫克图诺夫斯基
罗伯特·米彻姆,罗伯特•密奇姆
爱德华·迪麦特雷克,爱德华·德米特里克
弗莱德·麦克莫瑞,佛烈德麦克莫瑞
安德烈·塔可夫斯基,安德里·塔柯夫斯基 / 安德烈·塔科夫斯基 / 安德烈·塔尔科夫斯基 / 塔可夫斯基 / 安德烈·阿尔谢尼耶维奇·塔科夫斯基
詹妮薇芙·布卓,热纳维耶芙·比若尔德
木下惠介,木下正吉(本名)
霍拉蒂乌·马拉埃雷,霍拉丘·马拉埃勒
雷内·克莱芒,雷纳·克雷蒙
沃伦·比蒂,沃伦·比提
罗伯特·奥特曼,罗拔亚特曼 / 劳勃阿特曼 / 罗伯特·阿尔特曼 / 罗伯特·奥尔特曼
劳伦·白考尔,劳伦·巴考尔 / 罗兰·比歌
克莱尔·特雷弗,克莱尔·特沃
莱昂纳尔·巴里摩尔,赖尼尔·巴利摩
茂文·勒鲁瓦,默夫云·莱罗依
莱蒙托夫,米哈依尔·尤利耶维奇·莱蒙托夫
谢尔盖·帕拉杰诺夫,谢尔盖·巴拉加诺夫 / 谢尔盖·帕拉让诺夫 / 耶尔盖·帕拉赞诺夫
多多·阿巴希泽,多多·阿伯西兹
莎士比亚,威廉·莎士比亚
克洛德·苏台,克劳德·苏提 / 克劳德·索泰
吉昂·马利亚·沃隆特,日昂·马利亚·沃兰特 / 吉安·马利亚·沃隆特
塞尔日·雷吉亚尼,塞格·里吉安尼
让-皮埃尔·梅尔维尔,尚皮亚·梅维尔 / 尚-皮耶尔·梅尔维尔
安东·沃尔布鲁克,沃尔布吕克·阿道夫
黛博拉·蔻儿,德博拉·克尔 / 戴博拉·寇尔
迈克尔·鲍威尔,迈克·鲍威尔 / 米切尔·鲍威尔
玛丽亚娜·希尔,玛丽安娜·希尔
托德·海因斯,托德·海恩斯
弗拉迪斯拉夫·莱蒙特,雷蒙特
安杰依·瓦伊达,安德烈·瓦伊达 / 安杰·华意达 / 安德列华依达 / 安杰依·瓦依达
米勒德·米切尔,米勒德·米切尔
安德尔·德·托斯,安德尔·迪·托斯
格利高里·派克,格里高里·派克 / 格里高利·派克
哈斯克尔·韦克斯勒,哈斯高·韦斯勒
拉斯·冯·提尔,拉尔斯·冯·特里厄
蒂尔达·斯文顿,蒂尔达·斯温顿 / 蒂妲史云顿 / 蒂尔达·斯维顿
德里克·贾曼,德吕克·贾曼
朗·霍华德,罗恩·霍华德 / 朗侯活
尤·伯连纳,尤尔·伯连纳
让·迦本,让·加宾 / 尚·嘉宾
让·雷诺阿,尚·雷诺 / 让·雷诺亚
左拉,埃米尔·左拉
约瑟夫·罗西,约瑟夫·洛塞
茜茜·斯派塞克,西席·斯贝西克 / 茜茜·斯贝西克 / 希希·斯派斯克 / 茜茜·斯派克 / 茜絲史柏錫(港)
玛丽莲·梦露,诺玛·简·贝克(别名) / 诺玛·简·莫泰森(本名) / 玛丽琳·门罗
西里尔·库萨克,西里尔·丘萨克
安妮·萨维奇,安·萨维奇
费尔南多·雷依,法蘭度雷(HK)
西尔维娅·皮纳尔,比那尔·希尔维亚
尤尔根·普洛斯诺,约尔根·普罗赫诺
玛格雷特·冯·特洛塔,玛格瑞斯•冯•托塔
卡尔海因茨·博姆,卡尔亨兹·伯恩
让·厄斯塔什,让·尤斯塔奇
芬妮·阿尔丹,范妮·阿尔当
安德烈·杜索里埃,安德烈·杜索利埃
卡门·毛拉,卡门·莫拉
安德列·泰西内,安德列·特希纳 / 安德列·达西尼 / 安德列·塔希内 / 安德烈·泰西内
马塞尔·卡尔内,马塞·卡内 / 马塞尔·卡恩 / 马塞勒卡内
吉约姆·德帕迪约,吉翁·德帕迪约 / 纪尧姆·德帕迪厄
珍妮·巴利巴尔,让娜·巴里巴
帕德里夏·妮尔,帕翠夏·尼尔
巴德·斯楚伯格,伯特·舍尔贝格 / 巴德·舒尔伯格
克劳斯·洛维奇,克劳斯·洛维奇
赖纳·维尔纳·法斯宾德,雷纳·沃纳·法斯班德 / 雷纳韦纳法斯班德 / 法斯宾德 / 法斯宾达
罗伊·安德森,罗伊·安德森
托马斯·古铁雷兹·阿莱,托马斯·古蒂埃雷斯·阿莱
贾法·帕纳西,贾法·潘纳希
阿巴斯·基亚罗斯塔米,阿巴斯·基阿罗斯塔米 / 基阿鲁斯达米 / 阿巴厮
克日什托夫·扎努西,基斯杜夫·赞禄西 / 基斯杜夫赞禄西 / 克里茨托夫·扎努西 / 克里日托夫·扎努西
路易·马勒,路易士·马尔 / 路易马卢
海里勒.耶尔根,海里力
伊敏·托普拉克,艾明·托普拉克 / 伊敏·托普拉克
埃里奥·贝多利,埃里奥·佩特里
亚历山大·杜辅仁科,亚历山大·多夫任科 / 亚历山大·杜甫仁科
岩佐寿弥,岩佐壽彌
努里·比格·锡兰,努里·比格·杰兰 / 努瑞贝其锡兰 (台) / 努里·比尔盖·杰伊兰
玛丽昂捷娜·米纳托,玛丽安吉拉·梅拉托
丽莲·吉许,莉莲•吉许（另一译名） / 莉莲·吉什
奈妲·阿耐勒尔维茨,奈妲·阿耐尔维克
胡里奥·密谭,朱里奥·梅德姆
艾玛·苏雷兹,艾玛·苏亚雷斯
伊琳娜·波普拉夫斯卡娅,艾丽娜·帕拉夫斯卡娅
英格玛·伯格曼,英格玛·褒曼
卡洛斯·绍拉,卡洛斯·梭拉 / 卡洛斯索拉
詹姆斯·斯图尔特,詹姆斯·史都华 / 吉米史都华
欧内斯特·博格宁,欧内恩斯特·博格宁
茂文·道格拉斯,梅尔文·道格拉斯
让-保罗·贝尔蒙多,楊波貝蒙(台)
索菲娅·罗兰,苏菲亚·罗兰 / 索菲亚·罗兰
维托里奥·德·西卡,维托里奥·狄西嘉 / 维多里奥得西嘉 / 维托利欧·德·西卡
梅·扎特林,梅·柴特玲
潘妮拉·奥古斯特,佩尼拉·奥盖斯特
瑞秋·罗伯茨,瑞秋尔·罗布次
哈利·戴恩·斯坦通,哈利·迪恩·斯坦顿
马林·胡茨耶夫,Марлен Хуциев
波莱克·波利夫卡,波勒斯拉夫波利夫卡 / 伯莱特·波利夫卡 / 布力克波利维
费尔南多·索拉纳斯,费尔南多·埃塞吉埃尔·索拉纳斯
阿尔诺什特·卢斯蒂格,阿尔诺什特·卢斯蒂格
卢西恩·平蒂列,卢奇安·平蒂利埃 / 吕西安·平特莱
扬·内梅克,杨南曼奇 / 杨·涅麦茨 / 杨·内梅克 / 杨·涅梅茨 / 扬·涅梅茨
约瑟夫·冯·斯登堡,约瑟夫·冯·斯坦伯格
加里·格兰特,卡莱葛伦 / 阿奇博尔德·亚历山大·利奇
奥逊·威尔斯,奥森·威尔斯
李维克·伽塔克,李维克·吉哈塔克
艾伦·伯斯汀,艾伦·鲍斯汀
爱米尔·强宁斯,埃米尔·杰宁斯
萨蒂亚吉特·雷伊,萨耶吉特·雷伊
奥塔·伊奥谢利阿尼,奥塔·埃索里亚尼
贝特朗·塔维涅,宾纳·塔凡里埃 / 贝特朗·塔韦尼耶 / 贝特杭塔韦尼埃
米歇尔·奥蒙特,米歇尔欧蒙
拉娜·特纳,拉娜·透纳 / 莲娜·端纳(港)
简·怀曼,简·惠曼
米克洛斯·杨索,米克罗·杨秋 / 米克洛什·扬乔
布鲁斯·斯宾斯,布鲁斯·斯彭斯
娜塔莎·金斯基,娜斯塔加·金斯基
歌德,约翰·沃尔夫冈·歌德
汉斯·齐施勒,汉斯·利世勒
伊夫林·凯耶斯,伊夫林·凯斯
西德尼·巴克曼,西德尼·巴其曼 / 西德尼·布克曼
宝莲·高黛,保利特·戈达德
奥利维娅·德·哈维兰,奥丽维亚·德哈维兰
比利·怀德,比利·怀尔德
林黛,程月如(原名)
秦萍,陈小平(本名)
田丰,田毓锟(本名)
王元龙,王秉钰(本名)
葛兰,张玉瑛(本名) / “曼波女郎”(美誉)
赵雷,王育民
李丽华,小咪(昵称) / 李瑜瑛(本名)
乐蒂,奚重仪
中平康,杨树希(艺名)
桑德拉·狄,桑德拉·狄 / 仙杜拉·蒂
多丽丝·黛,桃樂絲黛 / 多丽丝·戴
安·谢里登,安·谢里丹
埃曼诺·奥尔米,埃尔马诺·奥尔米
沃纳·赫尔佐格,华纳·荷索 / 维尔纳·赫佐格 / 维尔内纳·赫尔措格
道格拉斯·塞克,道格拉斯·薛克
罗克·赫德森,洛克·赫德森 / 洛赫逊（港）
伊恩·麦克莱恩,伊安·麦克莱恩 / 伊安·麦克凯伦 / 伊恩·麦克连 / 伊恩·麦凯伦
佩内洛普·克鲁兹,佩妮洛普·克鲁兹 / 佩洛普·克罗丝 / 潘娜洛普·克鲁兹(台) / 彭妮露·古絲(港) / 潘尼洛普·克魯茲
帕特丽夏·阿奎特,帕特里夏·阿奎特 / 帕特里夏·阿盖特
贝特朗·布里叶,伯特兰·布里耶 / 贝特朗·布里尔 / 贝特杭布里埃
莱斯利·卡伦,莱斯莉·卡隆
马克·雷戴尔,马克· 赖德尔
詹姆斯·梅森,占士·美臣(港譯)
马克·弗雷切特,马克·弗雷凯特
西恩·潘,肖恩·潘
克里斯蒂娜·布瓦松,克里斯廷·博依森
莎朗·斯通,莎朗·史东
易文,杨彦岐 (原名) / 楊彥岐
艾德娜·费勃,埃德娜·费伯尔
琼·芳登,琼·比沃尔·哈维兰德
长谷川一夫,林长二郎
川口松太郎,松田昌一(笔名)
藤木悠,鈴木悠蔵(本名)
滨美枝,浜美枝
加东大介,加藤德之助(本名)
加山雄三,池端直亮(本名) / 若大将 / 弾厚作
高美以子,高美似子(误)
莱德·巴顿斯,雷德·巴顿斯
珍妮弗·琼斯,珍妮花·钟丝
栾元晖,栾天
托尼诺·格拉,托尼·诺格拉
米开朗基罗·安东尼奥尼,米高安哲罗·安东尼奥尼 / 米盖兰基罗安东尼奥尼 / 米开朗琪罗·安东尼奥尼
莫尼卡·维蒂,莫妮卡·维提
金·诺瓦克,玛丽莲·波琳·诺瓦克(本名) / 金·露华(台)
沃尔特·马修,华特·马殊
柯克·道格拉斯,寇克·道格拉斯
阿尔弗雷德·格林,阿尔弗雷德·E·格林
伊万·亨特,爱德·马克班
伊琳娜·库普琴科,伊琳娜·库普彻柯
三国连太郎,佐藤政雄(本名)
耶乐娜·科若那娃,叶莲娜·柯连尼奥娃
斋藤耕一,齐藤耕一
金吉·罗杰斯,琴格·罗杰斯 / 金格尔·罗杰斯
吉恩·凯利,金·凯利
史蒂夫·麦奎因,史提夫.麥昆(台)
朱迪·加兰,朱迪·嘉伦
娜塔利·伍德,娜妲麗華(台)
潘迪华,潘宛卿(本名)
弗雷德·阿斯泰尔,弗雷德·阿斯坦
阿兰·罗布-格里耶,阿兰·罗伯-格里耶
德菲因·塞里格,德菲因·塞日格 / 德尔菲娜·塞里格
珍·茜宝,简·塞伯格 / 金·萨班
鲍里斯·拉甫列涅夫,鲍里斯·拉夫列尼约夫 / 鲍里斯·拉甫列尼奥夫
奥列格·斯特里仁诺夫,Олег Стриженов
让·维果,尚·维果
格里戈里·科尔图诺夫,Григорий Колтунов
塔吉娅娜·萨莫依洛娃,塔季扬娜·萨莫伊洛娃
詹娜·普罗科伦科,Жанна Прохоренко
李政吉,李正吉
