夏春秋,吴耀冬(本名)
比利·鲍伯·松顿,比利·鲍伯·斯顿 / 比利·鲍·科顿 / 比利·鲍伯·桑顿
伍迪·哈里森,伍迪·哈瑞尔森
威尔·法瑞尔,威尔·法莱尔
威尔·福特,威尔佛瑞迪（台）
谭咏麟,谭校长(昵称) / 亚伦 / 阿伦(昵称)
杨思琦,楊思琦
虞慧,虞慧德
郭晋安,安仔 / 安安
饭田基祐,飯田基祐
顾媚,顧嘉瀰
丁红,汪燦華
夏文汐,邓丽群(本名)
欧阳莎菲,錢舜英
金霏,韓景霏
佐佐木藏之介,佐佐木秀明(本名)
夏木真理,夏木マリ
麻生久美子,平丸久美子(本名) / 广田绘美(别名) / 伊贺久美子(本名)
筱原凉子,市村涼子(本名)
唐泽寿明,唐泽洁 / 唐沢寿明
香取慎吾,慎吾君
三谷幸喜,Koki Mitani / Kouki Mitani
萨布,田中博树
黄真真,黄乐桐
凯瑟琳·海格尔,凯瑟琳·玛莉·海格尔(本名)
陈冠希,陈兴华(本名)
田朴珺,焯匀(艺名)
徐天佑,徐文健(本名)
余文乐,代果
陈果,田十八 / 水果
陈庆嘉,阿宽(笔名) / 聂宏风(笔名)
许绍雄,Benz雄(昵称)
余炳贤,大炳(昵称)
蒂尔·施威格,蒂尔·斯威格 / 提尔·史威格
詹妮弗·卡朋特,珍妮弗·卡彭特
布兰特妮·丹尼尔,布里塔尼·丹尼尔 / 布兰妮·丹尼尔
爱德华·阿斯纳,爱德华·埃斯诺
克里斯平·格洛弗,克利斯丁·格拉夫
詹妮佛·库里奇,詹妮弗·柯立芝
塞德里克·凯尔斯,搞笑高手塞德里克
尼科莱特·谢里丹,妮可莱特·谢里丹
大卫·克罗斯,大卫·克洛斯
贾斯汀·汀布莱克,贾斯汀·汀伯雷克 / 贾斯丁·汀波莱克 / 贾斯汀·丁伯莱克
杰西卡·阿尔芭,杰西卡·艾尔芭 (别名) / 杰西卡·玛丽·阿尔巴 (本名)
麦克·梅尔斯,迈克·梅尔斯
钱小豪,钱嘉华
丁佩,唐美麗 / 丁珮
谢贤,四哥(昵称) / 谢家钰(别名)
岳华,梁乐华(本名)
陈小春,陈小臻
陈豪,毛毛(昵称)
麻生祐未,永泽由美(本名) / 奥村由美 / 树由美子 / 麻生佑未
香椎由宇,香椎悠子(本名) / 小田切悠子
中川晴树,中川晴樹
矮冬瓜,佘镜国
李菁,李国瑛
王泽,王家禧（原名）
古田新太,古田岳史(本名) / 古ちん
岸谷五朗,岸谷五郎
卢海鹏,鹏哥(昵称)
卓韵芝,芝see菇bi
吴佩慈,时尚达人 / 九头身怪怪美少女
铃木仁,铃木啄也(本名)
周振辉,祖辉
瑞恩·雷诺兹,瑞安·雷诺兹
迈克尔·道格拉斯,米高·德格拉斯
塞缪尔·杰克逊,森姆·積遜(港)
廖伟雄,阿灿(昵称)
王青,大口清
小彬彬,温兆宇 (本名)
于倩,閻芷玲
张艾嘉,张爱嘉(曾用名)
邓碧云,邓芍芙 / 大碧姐 / 万能旦后
小库珀·古丁,小古巴·古丁 / 小古巴·戈丁
坦迪·牛顿,桑迪·牛顿
宝娃,里尔·博·沃 / 里尔·宝尔
洛雷塔·迪瓦恩,洛雷塔·戴维尼
科洛·塞维尼,克洛伊·塞维尼
史蒂夫·马丁,史蒂文·马丁 斯蒂夫·马丁
蕾切尔·薇兹,蕾切尔·薇姿 / 丽舍·薇兹 / 瑞秋·怀兹 / 瑞秋·薇兹
青田典子,森陽子
大卫·斯佩德,大卫史派德
蒂姆·波顿,蒂姆·伯顿 / 提姆·波顿 / 添·布顿
山田优,建国嫂
李慧英,李惠英
白允植,白云湜 / 白云思
奉太奎,奉泰奎
吴宗宪,宪哥 / 本土天王
佐藤江梨子,佐藤 江梨子
小林一三,凯拉立诺·桑德洛维奇
田中要次,Youji Tanaka / Yoji Tanaka
麦嘉,麦嘉尚(本名) / 光头佬 / 光头神探
徐克,徐文光(本名)
姜大卫,姜伟年(本名)
高冈奏辅,高冈苍甫 / 高冈苍佑
斋藤洋介,齐藤洋介
鹤田真由,鶴田真由
高桥真唯,岩井堂圣子（本名）
仲村亨,仲村彻
细田义彦,细田良彦 / 细田善彦
谷峰,陈思文
笕昌也,Masaya Kakehi
江口德子,江口のりこ
菊地凛子,菊地百合子(本名)
夏帆,印东夏帆
松下奈绪,松下奈緒
三浦春马,笹本春马(本名)
纱荣子,沙耶子
泽尻英龙华,泽尻绘里香
中村贺津雄,中村嘉葎雄
塚本高史,冢本高史
山田孝之,熊猫(昵称)
桐谷美玲,吧花（昵称）
